Manuscript_ID	Surface_ID	Image_Path_Relative	WER	CER	Ground_Truth_Normalized	OCR_Output_Normalized
Jarring_Prov_2	7a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_007_r.Lanczos.800.65_7a.jpg	0.7436	0.2131	و حضرت محمّد مصطفی صلی الله علیه وسلم نینک شفاعت لاریکه مشرّف قیلغایلار انشاء الله تعالی اکر سورسه لارکیم روغن کش لیک فرض مو واجب مو یا سنّت مو دیسه لار جواب ایغیلکیم خدای تعالی دین جبرائیل علیه السّلام غه فرمان بولدی فرض بولدی جبرائیل علیه السّلام پیغمبرلارغه تعلیم بردی واجب بولدی پیغمبرلار امّت لارغه ایدی سنّت بولدی معلوم بولدی کی هم فرض هم واجب هم سنّت ایکان اکر سورسه لارکیم پری شریعت کیم ترور پری طریقت کیم	وا ردین و حضرت محمد مصطفے صلی اللہ علیہ وسلم نیک شفاعت کاریکہ مشرف قبل غا بلار انشا اللہ تعالی اگر سورہ المریم روغن کشی ایک عرضی مو واجب موبالسنت موریہ لار جواب ایعلیکم خدای تعالی دین جبرائیل علیہ السلام نے فرمان بولدی فرضی بولدی جبرائیل علیہ اسلام پیغمبر ارغہ تعلیم بردی واجب بولدی پیغمبرار امت لارن ایدی سنت بولدی معلوم بولاری کہ ہم فرضی ہم واجب ہم سنت ایکارنہ اگر سورہ کار کم میری شریعت کو ضرور بری طاقت و کم 7
Jarring_Prov_2	7b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_007_v.Lanczos.800.65_7b.jpg	0.5143	0.1725	ترور پری مجازی کیم ترور جواب پری حقیقت جبرائیل علیه السلام پری شریعت حضرت محمّد رسول الله پری طریقت روغن کش ترور پری مجازی اوسته روشناکر ترور اکر سورسه لارکیم روغن کش لیک اسباب قایدین پیدا بولدی جواب ایغیل کیم بهشت دین درخت طوبی دین خدای تعالی نینک فرمانی بیلّه حضرت جبرائیل علیه السّلام حضرت آدم علیه السّلام غه چیقاریب بریب دورلار اکر کمرسه بو رساله نی اوزی بیلان توتسه	۱۲ اربا ترور پری مجازی کم ترور جواب پری حقیقت جبراعیل علیہ السلام پری شریعت برایت حضرت محمد رسول الله پری طریقت روغن کشی ترور پری مجازی اوسته روشنا کر طوار ترور اگر سورس لاریکم روغن کش یک اور اسباب قایدین پیدا بولدی جواب ایفل کم بہشت دین درخت طوبی دین خدای تعالی نیک فرمانی بیگہ حضرت جبرائیل علیہ السلام حضرت آدم علیہ السلام نے چیقاریب بریب دورلار اگر کمرہ بور سالے نے اوری پیلان تو تبہ لار
Jarring_Prov_2	8a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_008_r.Lanczos.800.65_8a.jpg	0.7442	0.1960	لار یا اوقوتوب ایشتسه لار حج طواف قیلغان نینک برکاتینی تاپقایلار و ینه انداغ روایت قیلیب دورلارکیم ابو سفیان رحمته الله علیه مکّه معظّمه نی طواف قیلغالی باریب مکّه معظّمه ده یغلاب اولتو روب ایدیلار آسماندین ایکی فرشته توشتی بر فرشته ینه بر فرشته دین سوال قیلدیکی یکی سین یک اوستاد سین بو یل یتمیش منک کشی حج طواف قیلدی مونینک آراسیدا کیم نینک حجی قبول بولدی دیدی بو فرشته ایدی ای شاکرد بو یل بو یتمیش منک کشی نینک حجی قبول بولمادی امّا بغداد شهرداکی	ین 8 لاریا او قوتوب ایشت لاریج طواف بالفان نیزیک برکاتینی تا پقابلار و بند انداغ روایت قیلاب دور لاریم ابوسفیان رحمت الا علیہ مگر معظم نے طواف قبل غالی با ریب مگه معظمه وه بغلاب اولتو اشته روب اید پلار آسماندین ایک فرشته توش بر فرشته ینه بر فرشته این کوال قیلدیکه یک سین یاد اوستاد سین بویل یتیمیش مینک کرنے چے طواف قیلدی مونیک آرالی ایم بینک بھی قبول بولدی دیدی بو فرشته ایدی ای شا کرد بویل بوتیمیش میک کے نیک بھی قبول بولمادی اما بغداد شہر دا کی
Jarring_Prov_2	8b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_008_v.Lanczos.800.65_8b.jpg	0.7317	0.2476	اوسته عمر روشن کری حاجی نینک برکاتیدین تمام حاجی لارنینک حجی قبول بولدی دیب فرشته لار غائب بولدی حضرت شیخ ابو سفیان رحمته الله علیه بغداد شهریکه کلیب استه عمر روشن کری نی تاپیب کوروشتی لار عمر شیخ نی نهایتی عزّت اکرام قیلیب اویکه توشوردی شیخ خوب مهمان قیلدی دعا و تکبردین کین شیخ ایدیلارکی ای اوسته روشن کری سیز حج قیلغانمو دیدی بو اوسته ایدیکی ای شیخ برزوک منینک اصلا حج که بار غانیم یوق امّا حج کا بارماقنی آرضو قیلامن	۱۴ اوانه عربی و سالی کردی حاجی ایک سو گایترین الله تمام حاجی لازیک بھی قبول بولدی دیب فرشته لار غائب بولدی حضرت شیخ ابوسفیان رحمه الله تمام 16 علیہ بغداد شہد یکہ کایب اولتہ عمر روشن کری نے تابیب کو روشته کار عرشیخ نے نہاتی عزت اکرام قیلیب او یکہ تو شوردی شیخ خوب مہمان قبادی دعاو بکبر دین این شیخ ایدیلار که ای اوسته روشن کری سیز حج قبلفا نمودیدی بو اوسته اید یکه ای شیخ بر زوک میدان اصلاح که بار نمایم یوق اما جج کا بار ما فنی آرضو قبلا من دیدی
Jarring_Prov_2	9a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_009_r.Lanczos.800.65_9a.jpg	0.7108	0.2176	دیدی شیخ ایدیکی ای اوسته من مکته الله باریب ایدیم فرشته لار سیزنینک حج ینکیزنینک برکاتیدین تمام حاجی لارنینک حجی قبول بولدی دیب فرشته لار غائب بولدی اول سوالدین من سیزنی ایزداب کلیب ایدیم بو شهرده سیزدین بولک اوسته عمر دیب کشی بارمو دیب ایدی بو شهرده مندین بولک عمر آتلیغ کشی یوق دیدی شیخ ایدیکه ای اوسته بر یخشی ایش قیلیب مدینکیز که حج نینک ثوابی نی تاپماقینکیزغه دیدی اوسته بر آه اوروب یغلاب ایدیلارکیم یا بزرکوار عالم بو یل حج کا	C ۱۵ دیدی شیخ اید یک رای اولته من مکتہ اللہ باریب ایدم فقراته الاورسیز نیک حج نیز یک برطانیدین تمام حاجی لازیک بھی قبول بولدی دیب فرشته لار غائب بولدی اول سوالدین من کیز نے ایزدان کار بدیم بوشهر ده سیزدین بولک اولتر عمر وب کتنے با ر مودیب ایدی بوشرده مندین بولک عمرا تاریخ کشے یوف دیدی شیخ اید یکه ای اوسته بر بخش ایش قیلیب مدینکز کرج یک خوابه فی تاپما فینگیز نه دیدی اوسته برآن اور وب نقلاب اید یا کریم با مزود و در عالم بویل حج کا
Jarring_Prov_2	9b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_009_v.Lanczos.800.65_9b.jpg	0.9846	0.2570	باردی دیب نیت قیلیب یورور ایدیم بر کونی بازارغه چقیب کتیب بارور ایدیم بر کمرسه بافارچه جزء کتاب نی توتوب توروب دور بر کمرسه بو نمه کتاب دیب ایدی ایدی بو رساله روشنا کرلیک دیدی ستارموسیز دیب ایدی آری دیدی اوزونکیزنینک پر اوستادینکیزنینک نصحتی دیدی فقرغه بو سوز تاءثیر قیلدی درحال رساله نی الیب کوزوم که سورتوب دستاریمغه قیستو روب رساله ایکاسیکه منک اشرفی نیاز	۱۶ باری دید نیست قیلیب باور و رایدیم سرکونی باز از نه چقیب کتیب بار در ایدیم بر کرسه با خارجه جزء کتاب نی تو توب تو رو با دور بر کمر له بو نه کتاب دیب ایدی ایدی بو رساله روشنا کر لیک دیدی ستار مولیز دیب ایدی تری دیدی اور و نیز ناک پر اولستار میکنیز یک نصیحتی دیدہ فقیری بوسوز تا د شر قبلدی در حال رساله فی الیب کو زوم که صور توب دستار جمعه بتو روب رسالہ ایک سیکہ ملک الر فی بین دانان فیلیم او
Jarring_Prov_2	10a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_010_r.Lanczos.800.65_10a.jpg	0.7778	0.2016	اویکه کلدیم خاتونوم تفا قیلیب دورشلوق اوردی من ایتیم ای خاتون بهوده سوزلامه من پرلارنینک نصیحت لاریکه اخلاص قیلدیم اول اشرف لارنی خدای تعالی منکا بریب ایکان من هم خدای تعالی نینک یولیده بردیم دیب دوکان غه باریب بو رسالۀ نی اوقوتوب پرلار حقیدا آش قیلیب چراغ اتیب دعا تکبر قیلدور دوم اول کچه توش کوردوم آسمان نینک ایشیک لاری آچیلدی بر تخت پیدا بولدی اول تخت اوستیدا حضرت عبدالمقیم روشن گری	IV او که کاریم خانو نوم تا قالب دور شکوف اورادی من استیم ای خاتون بیہود، سوزلامه من پر لار نیک نصیحت لار یکہ اخلاص قیلدیم اول الشرف لار نے خدای تعالی منکا بریب المان منم خدای تعالی یک ولیده بودیم ب دوگان نه با ریب بور سالہ نے او قوتوں پر لار چھیدا فلاور آتش قیلیب چراغ امتیب دعا و تکبر قبله دوم اول کچھ تو ش کو ردوم آسمان نیک ایشیک لاری آچیلدی بر تخت پیدا بولدی سیاز اول تخت اوستیدا حضرت عبد المقتم روش گری 10
Jarring_Prov_2	10b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_010_v.Lanczos.800.65_10b.jpg	0.9385	0.2611	و بو رسالۀ ده مذکور بولغان اون یته پر مرشیدلار حاضر بولدی کویا آفتاب تاباندیک اوزکه لار یولدوزدیک روشن ایدی اول پرلاردین الهام بولدیکه ای اوسته روشن کری رحمت سنکا سین بیزنینک سوزلاریمیزکا اخلاص قیلیب بیزنینک روحیمیزنی خُشنود قیلدینک بیز ایکی له دنیادا سندین راضی بولدوق سین جایینکدا تورغیل بیزلار سنینک اوچون طواف قیلیب خدای تعالی دین امر زیش تیلایلی مکته الله نینک بغدادنینک آرالیقی	۱۸ ر و بور سالن ده مذکور بولغان اون بیته پر هر شیدار حاضر بولدی کو یا آفتاب تا باند یک روز که لار یا پولاد وزد یک روشن ایدی اول پر لاردین الهام بولد یکه ای اوسته روشن کرنی رحمت سنگا سین نیز یک سوزالار عید کا اخلاص این قبلیب بز نمک رو میمند می خشنود و تاریک د بیز ایکی له دنیاد الدین راضی بولدوق سین اینکارا تور فیل بیزار سینک او چون طراف قباید خدای تعالی دین امر زیش .I.ch. بتلایل مکتہ الله نیک بغداد نیک ارالیقی ہ الله مد
Jarring_Prov_2	11a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_011_r.Lanczos.800.65_11a.jpg	0.9412	0.2246	آلته آیلیق یول دور سین بیزنی بو رساله برله یاد قیلدینک بیز سنی مکته الله دا یاد قیلالی سین بیزنی بو دنیادا یاد قیلدینک بیز سنی آخرت دا قولداب شفاعت قیلغایمیز سین بیزنینک اتیمیزغه مینک اشرفی نیاز قیلدینک سیزنینک هر اشرفینکغه مینک اشرفی برکای میز دیب غائب بولدی اول زمان من اویقودین بیدار بولدوم اوی نینک ایچی .عود عنبردین خوشبویراق بولوب دور کوزوم یاشغه تولوب دور درحال قوپوب	"۱۹ التر آبلیق بول دور سین بیرنی بود ساله براد یا و فیلد یک بسیز سنی مکتہ اللہ دا یا د قبلالی سیاین بیر نه بو دنیا دا یا د قیلہ بنک بنز سنی آخرت دا قولداب شفاعت قبلنا بمیز سین بیزیک اتمیز غه مینک اشرف نیاز فیلد ینک بیزینک ہو ا شر فیشلف مینک الشرقی برلای پر اشرفی میز ویب غائب بولدی اول زمان من اویقودین بیدار بولدوم اوی نیک اینی عود عنبردن خوشبو یراق بولوب دور. کو زوم یا شخہ تو لوب دور در حال قو پونی """
Jarring_Prov_2	11b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_011_v.Lanczos.800.65_11b.jpg	0.8077	0.2196	ایکی رکعت نماز آدا قیلدیم آندین نماز بامدادنی آدا قیلیب اولتوروب ایدیم ایکی یساول کیریب کلدی ایدی ای اوسته روشن کری سنی پادشاه چرلایدور دیب پادشاه بغداد قاشیغه الیب باردی پادشاه بغداد ایدی ای اوسته عمر روشن گری منکا بش یل بولدیکی بش خذینه مالی درّاه خدا یولی دا نظر آتاب ایردیم بو کچه توش کوردوم کی خواجه عبدالمقیم نی کوردوم ایدی ای فرزند نیازیم قبول بولسون دیسانک اتاغان نظرنی اوسته عمر روشن گریکه برکیل دیب غائب بولدی	۲۰ ایکی رکت نماز ادا قیلدیم آندین ناز بالای 1 ادا قبلی اولتوروب ایدیم ایکے مسا ول کریں لادی ایدی ای اوسته روشن کری سنی پادشا چر لاید و رویب پادشا بغداد تالشیعہ ایک بار دی پادشاه بغداد ایدی ای اوسته عمر روشن کری من کا پیش پل بولد یکه بهش هدیه مال در گاه هدا بولی دا نظر آتاب (مردیم بو کچه تویش کو رد) کہ خواجہ عبد القیم نے کو رد و ہم ایدی ای فرزند نیازیم قبول بولسون دیانک اناغان نظر فی اولته عمر روشن کر یکہ پر کیل دیب غائب بولادی واف الله انیان
Jarring_Prov_2	12a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_012_r.Lanczos.800.65_12a.jpg	0.7792	0.1899	ای اوسته عمر درحال بولونک بو نظر نیازلارنی مندین الینک و منی بیکار قیلیب قویونک دیدی بر یل بولدی بو مالنی توشوب توکاتالمادیم دیدی و اول وجهیدین حج که بارالمادیم دیدی شیخ ایدی ای اوسته سیزنینک اوچون پرلار شروع قیلسه لار اول کشی حج کا بارماق حاجت ایرماس دیدی اندین شیخ اوسته نینک قولینی کوزیکه سورتوب مبارکبادلیق قیلدی. بو حکایت نی امام جعفری صادق رضی الله عنه روایت قیلیب دور لارکیم هرکیم اخلاص قیلسه مرادیغه یتار دیب	۲۱ ای اوستہ عمر در حال بولونک بو نظر نیاز لارنی مندین النیک و منی بیکار قبلت قویورک دیدی بریل بولدی بو مانی تو شوب تو کا نا لمادیم دیدی و اول و جهیدین حج که بار المادیم دیدی شیخ ایدی ای اوسته نیز نیک او چونه پر لاد شروع قیام لار اول کشور بیج با رماق حاجت ایرمایی دیدی اندین شیخ اولته بیان قولینی کو زیکر سو توب مبارکبا د لیق قیلدی . یو حکایت فی امام جعفری صادق رضی اللہ عنہ روایت قیلر دور لاریم به یک اخلاص قیاسه مواد بینه بشار درب یہ بتاردیب
Jarring_Prov_2	12b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_012_v.Lanczos.800.65_12b.jpg	1.0000	0.3464	دیب دورلار هرکیم کسب کاریغه اخلاص قیلماسه سهل بیلسه افلاس لیقغه قالور نعوذ باالله من ذالك اکر سورسه لارکیم یوکینی اریغلاردا قیسی آیت نی اوقوماق کراک جواب ایغل کم یاٰ حَیُّ یاٰ قَیَّومُ دیماک کراک اکر سورسه لارکیم جوازغه یوک قویاردا قیسی آیت نی اوقوماق کراک جواب ایغیل کیم لاٰ اِلَهَ اِلَّا اللهُ کَرِیْمُ السَّتاٰرُ دیماک کراک اکر سورسه لارکیم جوازنی هیداردا	"کہ کالے بد اخلاصی بیمار دریچه درب دورلار ہم "" سہل بیلہ افلاس لیقہ قالور نعود باالله من ذالك ار سوس لاریم بیوکنی ار نظارداقی آیت نے او قوماق کراک جواب اینل کے یاحی یا قیوم و ماک کراک اگر من سوریه لاریم جواز یہ لوک قویار دا میلے آیت نے او قوما ف کر اک جواب العیل کیم لَا إِلَهَ إِلَّا الله كريم الشان دیمان کر اک اگر سوره داریم جوازه بیچاردا قیه"
